Date,wind_generation_actual,wind_capacity,temperature
5/28/2017,161906,39180.75,20.72
5/29/2017,55639,39214.667,22.122
5/30/2017,212498,39264.833,20.162
5/31/2017,304099,39373.5,17.253
6/1/2017,88552,39379.75,17.031
6/2/2017,50812,39388,19.422
6/3/2017,97750,39388,19.143
6/4/2017,231529,39388.5,15.787
6/5/2017,121557,39394.25,15.428
6/6/2017,452614,39397,14.83
6/7/2017,669215,39397.25,12.481
6/8/2017,282754,39400.833,15.527
6/9/2017,236119,39410.75,16.604
6/10/2017,89475,39419,17.043
6/11/2017,196269,39419.167,20.641
6/12/2017,508763,39422,17.798
6/13/2017,306512,39433.167,16.21
6/14/2017,67956,39436,17.502
6/15/2017,149845,39447.75,20.498
6/16/2017,481136,39456.25,16.912
6/17/2017,252583,39459,16.168
6/18/2017,45996,39459.167,19.327
6/19/2017,31185,39461.75,22.524
6/20/2017,148476,39470.583,22.865
6/21/2017,53052,39480,21.218
6/22/2017,272140,39514.333,23.085
6/23/2017,427695,39529,20.286
6/24/2017,378219,39529,18.963
6/25/2017,346376,39531.083,18.554
6/26/2017,216416,39556.167,18.932
6/27/2017,97722,39583.333,18.504
6/28/2017,254199,39626.333,19.135
6/29/2017,193696,39704.833,17.055
6/30/2017,379305,39802.5,16.29
7/1/2017,326424,39808,15.763
7/2/2017,312885,39808,15.735
7/3/2017,274606,39808,16.783
7/4/2017,172133,39808.583,18.089
7/5/2017,33865,39815,19.81
7/6/2017,51187,39815.5,22.014
7/7/2017,123188,39821,22.004
7/8/2017,132110,39821,21.413
7/9/2017,49087,39821.833,20.576
7/10/2017,85881,39832.333,19.569
7/11/2017,172820,39848.75,18.114
7/12/2017,353671,39869.333,16.563
7/13/2017,183808,39885.917,15.457
7/14/2017,85725,39907.25,16.341
7/15/2017,81751,39910.75,15.895
7/16/2017,160913,39919.25,18.222
7/17/2017,98540,39922.75,19.098
7/18/2017,79390,39932,20.387
7/19/2017,234005,39945.75,23.002
7/20/2017,163699,39978.333,20.501
7/21/2017,110595,40004.25,20.195
7/22/2017,166011,40007,20.883
7/23/2017,207803,40008.167,18.125
7/24/2017,85818,40023.083,15.713
7/25/2017,289621,40049.25,14.616
